Kabupaten/Kota,Tahun,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Tulangbawang,2023,22563.38,18748.96,2549.63,1027.68,184.47,52.64
Pesawaran,2023,21376.08,14464.59,5745.82,538.01,359.88,267.79
Pringsewu,2023,18407.2,14111.93,2793.88,814.9,409.35,277.14
Mesuji,2023,23232.33,18474.11,2954.51,1107.89,433.29,262.54
Tulang Bawang Barat,2023,25550.45,21832.39,3252.74,272.49,148.69,44.15
Pesisir Barat,2023,25394.26,16543.75,8328.09,312.29,164.91,45.23
Kota Bandar Lampung,2023,23143.41,19647.94,2588.99,804.28,42.86,59.34
Kota Metro,2023,20725.48,16870.08,3357.84,362.76,55.32,79.48
Bangka,2023,28011.47,24543.69,2301.0,1149.4,0.26,17.11
Belitung,2023,28613.04,24005.53,1291.57,3238.39,77.56,0.0
Bangka Barat,2023,31138.13,25027.05,4017.39,2041.73,51.96,0.0
Bangka Tengah,2023,33970.72,30866.45,1145.43,1916.6,32.39,9.85
Bangka Selatan,2023,29525.89,26684.97,989.02,1848.46,3.45,0.0
Belitung Timur,2023,38685.71,35292.42,1314.75,1898.45,16.99,163.09
Kota Pangkal Pinang,2023,22980.98,21207.93,828.72,307.18,83.2,553.94
Karimun,2023,16901.91,14361.08,1538.92,922.87,60.4,18.64
Bintan,2023,16784.42,14823.1,712.18,1185.52,35.09,28.53
Natuna,2023,21850.51,18548.94,1287.88,1941.23,0.0,72.47
Lingga,2023,20514.67,17905.59,2285.11,68.46,231.67,23.85
Kepulauan Anambas,2023,27162.92,23681.77,1411.24,1796.94,51.66,221.31
Kota Batam,2023,18936.51,16195.02,1182.81,1084.07,61.49,413.13
Kota Tanjung Pinang,2023,14138.39,10083.28,536.46,3406.02,14.08,98.56
Kep. Seribu,2023,27556.14,27485.5,0.0,0.0,22.82,47.82
Jakarta Selatan,2023,16142.17,10088.88,865.14,4961.78,27.16,199.21
Jakarta Timur,2023,17366.35,14714.53,960.05,1451.79,26.37,213.61
Jakarta Pusat,2023,19002.45,15119.14,1252.2,2398.66,18.04,214.41
Jakarta Barat,2023,20987.5,17079.72,1447.26,2109.49,42.17,308.85
Jakarta Utara,2023,21516.46,16761.84,1605.3,2899.78,22.7,226.85
Bogor,2023,23997.04,18221.19,5117.0,413.73,49.97,195.15
Sukabumi,2023,26670.75,16122.79,9564.85,913.12,67.18,2.8
Cianjur,2023,25559.27,14479.8,9729.36,942.36,357.42,50.33
Bandung,2023,25272.77,14775.52,8281.41,2094.74,79.94,41.15
Garut,2023,22598.54,11499.7,9308.83,1254.74,494.92,40.36
Tasikmalaya,2023,23422.04,12301.15,8451.26,2145.61,428.66,95.36
Ciamis,2023,25894.65,12525.73,12223.28,828.73,168.57,148.35
Kuningan,2023,23829.24,16949.31,5662.02,1131.21,66.15,20.56
Cirebon,2023,22736.5,16694.23,5409.86,239.52,67.72,325.18
Majalengka,2023,22707.01,16370.82,4591.34,1651.91,40.4,52.54
Sumedang,2023,25577.48,13095.72,10597.19,1509.49,324.94,50.15
Indramayu,2023,29616.95,23612.13,5994.13,0.0,0.0,10.69
Subang,2023,28909.81,21581.47,5674.0,1583.51,47.23,23.6
Purwakarta,2023,31131.87,20928.29,6582.5,3482.82,94.9,43.36
Karawang,2023,28211.59,21565.96,5854.58,711.3,9.38,70.37
Bekasi,2023,23390.35,19390.1,3149.58,728.59,29.82,92.25
Bandung Barat,2023,22825.94,14831.42,7206.01,634.89,139.37,14.25
Pangandaran,2023,26591.14,14131.69,11033.32,722.33,516.41,187.38
Kota Bogor,2023,24693.06,19433.5,3262.08,1936.04,15.17,46.26
Kota Sukabumi,2023,26550.6,19741.2,3821.01,2864.96,66.89,56.53
Kota Bandung,2023,27121.27,21829.99,3717.05,1078.9,29.15,466.19
Kota Cirebon,2023,18592.6,16878.31,1371.09,0.0,13.52,329.69
Kota Bekasi,2023,21159.33,16280.51,2347.57,2187.2,31.0,313.04
Kota Depok,2023,24114.07,18512.44,2365.48,2554.41,60.4,621.34
Kota Cimahi,2023,27575.73,22669.89,2418.08,2308.93,13.15,165.68
Kota Tasikmalaya,2023,23704.9,15294.86,5913.53,2305.09,68.86,122.57
Kota Banjar,2023,23536.25,16298.21,5039.39,2039.94,83.31,75.41
Cilacap,2023,18404.1,11269.01,5279.83,1197.88,400.94,256.43
Banyumas,2023,19000.43,12277.96,5218.28,898.05,299.85,306.29
Purbalingga,2023,17253.12,9809.39,6104.42,548.06,692.0,99.24
Banjarnegara,2023,19154.38,10120.93,5425.06,1736.47,1364.15,507.77
Kebumen,2023,15453.45,7536.82,5582.11,623.41,1012.11,699.0
Purworejo,2023,12553.76,7696.56,4045.89,413.57,309.0,88.74
Wonosobo,2023,16261.44,11023.94,2031.59,214.76,1970.67,1020.48
Magelang,2023,17552.58,13453.02,859.24,922.61,1471.23,846.48
Boyolali,2023,18245.47,14533.53,2279.92,821.28,424.98,185.76
Klaten,2023,14649.58,12027.16,1618.8,776.59,73.19,153.83
Sukoharjo,2023,16515.63,15220.97,916.4,345.82,24.01,8.43
Wonogiri,2023,14851.85,11021.7,3272.85,142.47,290.66,124.17
Karanganyar,2023,14649.27,12660.17,1029.48,905.11,54.21,0.31
Sragen,2023,19686.99,16573.0,2287.38,596.5,128.99,101.12
Grobogan,2023,18316.08,15193.84,2174.25,664.37,246.39,37.23
Blora,2023,18169.76,16537.06,711.71,623.67,194.32,103.0
Rembang,2023,22360.59,20929.1,387.77,690.57,318.51,34.63
Pati,2023,22163.0,20876.12,685.61,356.32,47.71,197.24
Kudus,2023,18522.69,17669.85,729.84,0.0,22.83,100.17
Jepara,2023,20084.21,17704.3,1925.13,454.54,0.18,0.06
Demak,2023,23737.25,22548.41,707.16,386.36,66.61,28.69
Semarang,2023,19362.35,14876.67,2846.16,744.08,642.39,253.06
Temanggung,2023,13148.03,6468.26,1116.11,288.39,3641.37,1633.89
Kendal,2023,18144.94,15962.52,516.11,330.92,884.17,451.22
Batang,2023,20603.05,18444.86,1448.31,94.22,423.73,191.94
Pekalongan,2023,19717.67,16855.36,1933.85,718.91,179.09,30.45
Pemalang,2023,20585.39,12593.28,7466.22,166.88,330.63,28.39
Tegal,2023,16255.02,13476.51,2609.64,57.44,42.55,68.89
Brebes,2023,24360.3,17018.17,6796.78,389.96,154.35,1.04
Kota Magelang,2023,14941.98,11834.57,1364.08,1122.02,138.4,482.91
Kota Surakarta,2023,14264.84,12919.6,1037.46,86.92,108.25,112.61
Kota Salatiga,2023,18392.05,13993.39,1841.7,1831.87,212.53,512.57
Kota Semarang,2023,15492.79,13653.34,1539.26,214.44,47.55,38.2
Kota Pekalongan,2023,17124.43,15775.6,1013.29,182.53,32.32,120.69
Kota Tegal,2023,18345.64,15887.98,2173.96,202.5,2.37,78.82
Kulon Progo,2023,12921.4,8425.62,2821.93,768.54,631.98,273.33
Bantul,2023,15414.91,12701.2,1093.75,783.68,268.37,567.91
Gunung Kidul,2023,13865.48,8248.08,3151.59,1665.12,589.82,210.88
Sleman,2023,17325.32,14504.58,1614.17,872.44,91.6,242.53
Yogyakarta,2023,13497.47,11928.4,680.19,296.49,77.53,514.87
Pacitan,2023,8470.97,3561.63,3639.91,397.0,716.49,155.93
Ponorogo,2023,13870.01,8583.37,3921.6,218.55,866.62,279.86
Trenggalek,2023,11437.34,6829.74,3469.24,340.65,486.82,310.89
Tulungagung,2023,17474.31,13046.56,3778.21,183.07,412.82,53.65
Blitar,2023,13282.22,10581.96,1540.58,479.13,525.66,154.89
Kediri,2023,15565.05,12329.75,2708.22,44.08,279.49,203.51
Malang,2023,19650.36,14810.73,4188.49,271.56,200.1,179.48
Lumajang,2023,17654.77,12232.92,2713.18,377.8,1781.11,549.77
Jember,2023,16625.09,12173.71,2340.68,729.41,1095.29,286.0
Banyuwangi,2023,19931.95,15968.34,2500.77,678.31,564.86,219.66
Bondowoso,2023,19347.75,15471.8,2112.3,152.78,1361.24,249.63
Situbondo,2023,21502.17,14681.85,4728.32,661.26,1154.45,276.3
Probolinggo,2023,18502.74,11782.42,3501.71,54.13,2701.91,462.57
Pasuruan,2023,21605.29,19076.07,1747.24,488.34,248.87,44.76
Sidoarjo,2023,22304.45,20406.62,757.69,844.19,66.7,229.25
Mojokerto,2023,25571.34,23336.2,2051.52,0.0,70.44,113.18
Jombang,2023,19977.56,17753.39,1815.64,177.03,183.87,47.63
Nganjuk,2023,17187.03,14351.77,2474.08,18.5,296.59,46.09
Madiun,2023,15010.63,11170.9,3160.54,247.57,334.56,97.06
Magetan,2023,16906.55,13793.87,2092.81,752.14,181.26,86.46
Ngawi,2023,16915.72,13667.61,2792.25,256.98,180.56,18.32
Bojonegoro,2023,20875.36,17915.54,2605.58,33.61,231.93,88.69
Tuban,2023,22505.0,20493.04,1106.07,351.6,395.01,159.27
Lamongan,2023,24625.49,21574.11,2432.53,427.14,166.8,24.9
Gresik,2023,27178.2,25362.57,1523.83,196.85,65.52,29.42
Bangkalan,2023,18171.73,15942.74,2138.84,51.36,3.3,35.5
Sampang,2023,21239.02,19044.77,2047.81,116.89,27.88,1.67
Pamekasan,2023,23549.38,23011.43,505.82,0.0,32.13,0.0
Sumenep,2023,35284.06,31535.97,2437.18,837.08,351.85,121.98
Kota Kediri,2023,15967.39,14936.78,735.82,64.6,96.35,133.84
Kota Blitar,2023,17123.86,14571.19,1775.21,151.27,240.75,385.44
Malang,2023,15951.76,13473.17,1545.7,483.86,50.84,398.19
Kota Probolinggo,2023,12655.58,9989.83,1759.77,116.98,662.01,127.0
Kota Pasuruan,2023,17192.26,15852.53,1029.29,123.94,59.76,126.73
Kota Mojokerto,2023,17016.25,15700.78,1104.9,19.91,110.04,80.61
Kota Madiun,2023,15341.75,13315.01,988.99,894.06,36.45,107.25
Kota Surabaya,2023,22789.1,21869.77,619.05,204.13,56.53,39.62
Kota Batu,2023,23145.51,19947.24,2609.47,305.04,190.77,92.99
Pandeglang,2023,25646.64,19083.99,5577.39,875.35,4.03,105.88
Lebak,2023,30298.98,20240.47,8537.11,1503.28,11.58,6.55
Tangerang,2023,26431.55,21483.19,3891.24,856.14,36.21,164.77
Serang,2023,33633.64,28108.04,5260.32,194.21,0.0,71.07
Kota Tangerang,2023,22065.04,18059.86,2174.05,1601.86,58.57,170.71
Kota Cilegon,2023,29686.64,22887.43,5035.32,1410.58,75.62,277.69
Kota Serang,2023,26864.67,23262.79,1551.53,1908.14,0.0,142.22
Kota Tangerang Selatan,2023,20527.77,14723.09,1905.07,3344.33,40.66,514.62
Jembrana,2023,15962.99,11550.62,1325.42,2862.44,70.7,153.81
Tabanan,2023,16469.09,11418.84,1417.16,3489.23,56.48,87.38
Badung,2023,13556.18,8976.82,1051.04,3079.84,10.14,438.35
Gianyar,2023,12050.58,7766.65,537.7,3278.09,39.96,428.18
Klungkung,2023,9001.11,7451.1,245.48,971.37,121.93,211.24
Bangli,2023,16013.98,10049.94,705.83,4812.0,80.6,365.6
Karangasem,2023,9540.19,7552.0,758.11,968.34,75.22,186.52
Buleleng,2023,13276.52,6682.53,3128.93,3323.12,59.65,82.3
Kota Denpasar,2023,12939.65,9179.27,493.41,2799.33,5.63,462.01
Lombok Barat,2023,17108.25,14821.03,88.19,625.07,1387.31,186.64
Lombok Tengah,2023,17531.93,14091.14,395.89,129.97,2475.72,439.2
Lombok Timur,2023,14285.74,9902.21,470.18,914.08,2593.26,406.01
Sumbawa,2023,24897.28,16818.45,4413.72,2446.09,865.11,353.92
Dompu,2023,21416.9,15213.64,4926.59,921.88,316.62,38.18
Bima,2023,22242.55,14216.78,6025.1,1700.97,139.6,160.1
Sumbawa Barat,2023,21060.72,19107.38,750.22,720.35,257.02,225.76
Lombok Utara,2023,12863.53,8787.39,146.12,640.87,2779.65,509.5
Kota Mataram,2023,21524.61,18303.02,988.61,1428.37,292.92,511.7
Kota Bima,2023,20443.49,16767.62,1740.35,1791.68,22.75,121.08
Sumba Barat,2023,11861.21,6618.91,3544.73,64.9,286.47,1346.2
Sumba Timur,2023,17527.81,9247.08,5375.38,278.95,339.07,2287.33
Kupang,2023,8898.17,3456.01,2668.43,711.84,107.11,1954.78
Timor Tengah Selatan,2023,9929.28,1473.68,2813.33,127.0,432.55,5082.72
Timor Tengah Utara,2023,9321.37,2599.08,4030.16,7.09,359.44,2325.6
Belu,2023,11129.69,5644.03,1717.18,1197.18,144.35,2426.95
Alor,2023,11392.3,2802.24,4753.5,56.51,518.31,3261.74
Lembata,2023,13855.09,10614.27,1336.72,857.11,198.65,848.34
Flores Timur,2023,15044.7,11286.89,957.64,2533.69,201.61,64.87
Sikka,2023,13493.2,12118.48,547.89,2.28,494.32,330.23
Ende,2023,14780.72,11920.79,1220.43,357.13,232.3,1050.07
Ngada,2023,15024.25,11342.21,710.02,1545.19,311.25,1115.58
Manggarai,2023,15164.19,13510.85,493.39,619.94,209.91,330.1
Rote Ndao,2023,8381.99,5466.02,430.54,307.25,1197.64,980.53
Manggarai Barat,2023,19839.22,18485.77,807.59,458.86,39.27,47.72
Sumba Tengah,2023,10882.62,4419.25,3724.6,617.04,499.58,1622.15
Sumba Barat Daya,2023,11758.04,4310.58,4316.4,290.41,229.71,2610.94
Nagekeo,2023,14698.27,11975.84,301.15,1632.43,218.38,570.47
Manggarai Timur,2023,13569.35,10361.72,1199.49,995.88,482.68,529.57
Sabu Raijua,2023,12653.91,9427.89,1531.02,53.81,419.83,1221.36
Malaka,2023,12838.49,6191.87,2952.96,378.26,180.28,3135.11
Kota Kupang,2023,10305.07,7688.63,818.57,1683.57,40.93,73.37
Sambas,2023,17511.0,15550.14,902.64,1042.47,15.75,0.0
Bengkayang,2023,22121.92,18623.96,787.52,2017.34,351.47,341.63
Landak,2023,22421.33,16087.89,2048.03,3893.55,272.3,119.56
Mempawah,2023,20072.27,16439.74,1269.96,2263.22,71.85,27.51
Sanggau,2023,22085.17,18359.45,1909.08,1411.4,346.21,59.02
Ketapang,2023,23372.79,19712.11,1716.81,1883.78,22.42,37.68
Sintang,2023,23242.45,17109.74,1360.91,4522.15,113.29,136.35
Kapuas Hulu,2023,23733.97,18781.66,2728.63,2136.24,76.61,10.83
Sekadau,2023,21203.94,16282.74,4531.72,254.47,121.91,13.09
Melawi,2023,25606.43,20845.57,965.74,3232.75,420.15,142.23
Kayong Utara,2023,25992.42,23695.94,1691.09,0.0,129.54,475.85
Kubu Raya,2023,17653.14,15931.8,931.27,705.84,34.9,49.35
Kota Pontianak,2023,18107.61,15971.68,507.18,1445.75,0.0,182.99
Kota Singkawang,2023,17749.91,15175.32,1770.86,774.25,8.0,21.48
Kotawaringin Barat,2023,23939.81,20897.67,970.5,1784.93,146.74,139.97
Kotawaringin Timur,2023,27995.89,25108.47,1866.34,861.52,84.01,75.55
Kapuas,2023,18163.39,17848.17,219.77,37.44,13.87,44.14
Barito Selatan,2023,20552.29,18728.37,989.67,425.56,58.2,350.49
Barito Utara,2023,24721.08,24238.51,366.05,39.13,35.83,41.56
Sukamara,2023,32757.74,28940.19,2687.02,1008.96,70.27,51.29
Lamandau,2023,33303.16,30323.34,1375.95,650.48,61.68,891.71
Seruyan,2023,31294.75,30086.35,880.24,141.66,51.32,135.17
Katingan,2023,24005.1,19450.12,3997.81,17.21,415.54,124.41
Pulang Pisau,2023,21709.61,19593.17,1337.88,585.64,178.6,14.31
Gunung Mas,2023,29374.54,25923.61,2444.27,654.71,95.58,256.37
Barito Timur,2023,19853.24,17592.38,1782.18,445.73,28.75,4.19
Murung Raya,2023,22001.35,19780.18,1653.53,454.34,57.72,55.58
Kota Palangka Raya,2023,14240.41,13219.03,499.53,337.23,17.9,166.7
Tanah Laut,2023,22891.3,21302.82,1433.1,6.13,12.87,136.37
Kota Baru,2023,21239.72,19088.85,1229.19,841.51,44.69,35.48
Banjar,2023,17509.42,15488.6,309.4,1389.81,89.71,231.9
Barito Kuala,2023,20008.37,19186.78,70.97,549.51,21.99,179.12
Tapin,2023,24262.09,23428.27,489.4,0.0,0.0,344.41
Hulu Sungai Selatan,2023,13949.09,13873.38,20.71,0.0,0.0,55.01
Hulu Sungai Tengah,2023,16741.02,15631.68,486.85,586.61,21.77,14.11
Hulu Sungai Utara,2023,13935.02,13562.56,236.67,0.0,64.22,71.57
Tabalong,2023,16932.55,15329.67,409.29,1016.94,49.35,127.3
Tanah Bumbu,2023,23682.75,20511.15,1264.71,1531.58,81.14,294.17
Balangan,2023,16474.95,14137.03,1924.72,0.0,0.0,413.2
Kota Banjarmasin,2023,9518.13,9019.69,106.26,213.94,34.25,143.99
Kota Banjar Baru,2023,20336.33,18685.11,300.78,1017.39,38.34,294.72
Paser,2023,23563.17,21691.85,895.39,499.2,122.76,353.97
Kutai Barat,2023,21952.72,17959.87,467.81,3450.89,27.05,47.11
Kutai Kartanegara,2023,21580.06,18084.31,607.7,2563.62,65.93,258.5
Kutai Timur,2023,28868.73,22437.01,1134.73,4614.19,1.32,681.48
Berau,2023,25958.51,23046.55,732.49,1604.28,0.0,575.19
Penajam Paser Utara,2023,24723.83,20868.53,1448.4,2271.18,123.85,11.87
Mahakam Ulu,2023,23315.35,17143.71,747.7,3100.18,1662.23,661.54
Kota Balikpapan,2023,20114.31,16344.1,1388.15,2209.93,38.96,133.16
Kota Samarinda,2023,16848.13,15047.57,511.24,760.44,83.97,444.91
Kota Bontang,2023,14830.0,12156.36,204.85,2408.72,0.0,60.06
Malinau,2023,24497.7,14576.74,1563.71,7312.78,1021.52,22.95
Bulungan,2023,26223.12,23431.65,163.16,2306.86,70.89,250.56
Tana Tidung,2023,25996.89,13965.47,1065.14,10880.99,84.48,0.81
Nunukan,2023,22323.37,21111.51,499.35,452.75,135.48,124.28
Kota Tarakan,2023,16018.65,14398.33,629.92,943.21,0.0,47.19
Bolaang Mongondow,2023,22874.92,19109.83,982.74,2487.1,275.87,19.37
Minahasa,2023,16356.76,14505.65,486.41,1228.8,52.96,82.93
Kepulauan Sangihe,2023,16852.98,15528.59,644.31,572.55,107.53,0.0
Kepulauan Talaud,2023,17672.2,16457.25,410.14,474.54,330.28,0.0
Minahasa Selatan,2023,20340.82,18755.89,79.65,1453.71,51.57,0.0
Minahasa Utara,2023,17224.4,13702.45,479.42,2957.4,85.12,0.0
Bolaang Mongondow Utara,2023,21277.0,17453.3,453.15,2744.57,619.96,6.03
Siau Tagulandang Biaro,2023,17344.81,15917.22,191.14,1161.28,75.17,0.0
Minahasa Tenggara,2023,19798.44,16992.14,622.02,2090.64,93.64,0.0
Bolaang Mongondow Selatan,2023,22688.58,15666.4,1209.82,4794.14,549.73,468.48
Bolaang Mongondow Timur,2023,35693.42,31552.88,342.34,3537.23,260.97,0.0
Kota Manado,2023,15631.81,13666.0,251.17,1641.73,24.58,48.33
Kota Bitung,2023,16348.02,15173.35,235.97,928.01,10.69,0.0
Kota Tomohon,2023,16749.82,12646.99,1208.35,2818.76,8.43,67.29
Kota Kotamobagu,2023,20882.06,16559.31,539.82,3506.16,141.37,135.4
Banggai Kepulauan,2023,13749.13,11087.09,1405.91,749.6,388.97,117.55
Banggai,2023,24044.85,19965.24,1253.58,2468.88,333.94,23.22
Morowali,2023,35744.15,25144.85,1909.93,8546.17,4.21,138.98
Poso,2023,21042.42,17588.23,773.18,2634.96,4.36,41.69
Donggala,2023,18759.95,16161.45,1776.27,634.37,108.25,79.61
Toli-Toli,2023,15707.82,12591.38,2366.27,529.8,174.66,45.7
Buol,2023,26161.29,21140.59,4411.11,506.42,99.99,3.19
Parigi Moutong,2023,22754.6,17181.33,3088.6,2039.25,367.39,78.04
Tojo Una-Una,2023,24749.12,20241.36,2234.96,1662.32,525.36,85.13
Sigi,2023,22937.79,21741.77,922.35,245.58,28.09,0.0
Banggai Laut,2023,20008.44,14497.07,1649.72,3599.5,232.56,29.58
Morowali Utara,2023,31057.34,25771.37,2962.2,1811.28,508.58,3.91
Kota Palu,2023,19846.32,17339.12,181.2,2310.79,15.22,0.0
Kepulauan Selayar,2023,19473.57,18722.87,236.13,44.04,383.18,87.34
Bulukumba,2023,14960.77,13075.77,931.8,679.13,267.07,7.01
Bantaeng,2023,21531.41,16173.11,2156.31,2827.42,238.01,136.57
Jeneponto,2023,16885.88,14443.69,1932.0,388.25,51.13,70.82
Takalar,2023,17370.39,17282.29,36.08,20.56,31.45,0.0
Gowa,2023,18680.62,15651.92,1503.81,1120.51,303.34,101.04
Sinjai,2023,15995.61,11585.04,975.81,2309.81,1026.64,98.31
Maros,2023,18311.46,15012.44,1019.38,2133.54,128.81,17.28
Pangkajene dan Kepulauan,2023,17980.21,17517.61,54.03,335.78,32.1,40.69
Barru,2023,20054.38,13069.19,1266.15,5706.62,12.42,0.0
Bone,2023,16331.61,15643.32,314.04,193.45,145.78,35.02
Soppeng,2023,17908.55,15446.04,96.82,2365.69,0.0,0.0
Wajo,2023,20332.19,19328.51,332.35,388.6,49.1,233.63
Sidenreng Rappang,2023,23228.15,20206.6,985.16,1876.9,0.0,159.48
Pinrang,2023,20056.96,19586.15,417.45,0.0,0.0,53.37
Enrekang,2023,17039.26,15130.53,856.23,995.94,54.57,1.99
Luwu,2023,17583.16,16179.07,171.1,1216.65,16.34,0.0
Tana Toraja,2023,14105.61,10194.6,1903.51,1739.78,15.44,252.27
Luwu Utara,2023,24598.29,22099.57,1196.65,1226.91,70.28,4.88
Luwu Timur,2023,23514.51,20334.3,1704.19,1251.52,12.46,212.04
Toraja Utara,2023,18717.84,17777.16,5.57,903.78,31.33,0.0
Kota Makasar,2023,15202.87,13421.51,379.14,1281.56,69.97,50.68
Kota Parepare,2023,15714.01,13974.18,747.72,877.26,4.18,110.67
Kota Palopo,2023,20461.59,19071.32,61.33,1186.28,17.44,125.22
Buton,2023,12831.51,11143.77,360.05,1293.45,34.23,0.0
Muna,2023,11457.45,10086.08,316.53,933.19,114.39,7.26
Konawe,2023,20556.69,18871.89,743.45,835.54,103.73,2.07
Kolaka,2023,19598.44,14516.92,460.87,4566.82,53.83,0.0
Konawe Selatan,2023,16350.28,14763.42,430.0,1014.68,135.41,6.77
Bombana,2023,24394.64,21081.04,292.51,2870.28,81.53,69.29
Wakatobi,2023,14325.58,11901.83,432.88,1900.26,86.87,3.74
Kolaka Utara,2023,20176.23,17854.04,812.95,1321.24,34.07,153.92
Buton Utara,2023,15891.06,14036.12,319.61,1412.53,115.11,7.7
Konawe Utara,2023,29786.66,25250.08,4272.99,158.76,27.57,77.26
Kolaka Timur,2023,15802.69,14611.05,923.67,1.99,257.03,8.95
Konawe Kepulauan,2023,24271.48,18956.43,1085.5,4003.63,225.92,0.0
Muna Barat,2023,13206.94,12208.77,747.99,195.12,22.76,32.3
Buton Tengah,2023,10768.43,8223.22,516.52,2005.06,23.63,0.0
Buton Selatan,2023,11171.12,8058.37,692.12,2237.64,66.48,116.5
Kota Kendari,2023,14278.65,12854.95,345.62,914.44,0.21,163.43
Kota Baubau,2023,12359.97,10969.49,741.34,649.13,0.0,0.0
Boalemo,2023,20518.04,14486.03,322.15,4108.93,1300.66,300.28
Gorontalo,2023,20332.36,18096.57,446.57,1117.74,416.16,255.32
Pohuwato,2023,14996.98,12478.15,89.73,1990.81,257.67,180.61
Bone Bolango,2023,14608.18,12415.67,44.54,1353.62,533.37,260.98
Gorontalo Utara,2023,23260.32,18216.7,969.57,2815.32,566.78,691.96
Kota Gorontalo,2023,19859.24,18230.73,488.36,983.94,47.68,108.53
Majene,2023,11086.43,10667.2,85.63,242.93,36.85,53.82
Polewali Mandar,2023,14920.42,13257.67,53.88,1463.21,7.11,138.55
Mamasa,2023,12247.14,10068.97,790.31,1275.73,112.13,0.0
Mamuju,2023,18120.16,16890.45,852.37,367.82,9.53,0.0
Mamuju Utara,2023,29856.12,27541.51,910.78,1376.82,0.0,27.01
Mamuju Tengah,2023,23461.92,21058.23,775.84,1615.37,12.47,0.0
Maluku Tenggara Barat,2023,9338.81,6863.27,1049.74,383.77,836.55,205.48
Maluku Tenggara,2023,14137.63,12557.8,736.2,246.94,519.82,76.87
Maluku Tengah,2023,17534.83,15000.52,1115.01,769.68,600.08,49.55
Buru,2023,18741.32,15371.17,1412.67,838.3,1077.44,41.74
Kepulauan Aru,2023,19063.3,15255.49,664.74,1056.03,1778.15,308.88
Seram Bagian Barat,2023,14533.41,11049.86,924.48,1300.98,1174.89,83.2
Seram Bagian Timur,2023,17673.78,12649.8,432.65,1366.61,2872.39,352.33
Maluku Barat Daya,2023,9776.67,7152.83,260.14,666.36,1530.08,167.26
Buru Selatan,2023,10826.86,6685.02,954.34,1169.69,1666.8,351.01
Kota Ambon,2023,15581.2,13271.4,1232.07,1040.79,20.83,16.1
Kota Tual,2023,14679.33,12341.86,1419.38,723.93,144.51,49.64
Halmahera Barat,2023,17958.62,13331.9,1474.89,1891.91,1144.97,114.94
Halmahera Tengah,2023,44603.75,37348.78,2037.52,1774.52,1291.78,2151.15
Kepulauan Sula,2023,15220.7,11029.59,1388.25,942.29,1548.62,311.95
Halmahera Selatan,2023,25897.5,20809.56,1313.74,953.8,2006.02,814.38
Halmahera Utara,2023,21125.73,19535.05,380.7,742.74,418.53,48.71
Halmahera Timur,2023,29101.83,21955.79,967.86,4437.19,1535.89,205.09
Pulau Morotai,2023,19850.85,14502.24,1422.98,2195.64,1309.73,420.25
Pulau Taliabu,2023,30715.47,26728.55,780.66,2031.09,958.83,216.34
Kota Ternate,2023,26554.37,25384.73,370.21,653.74,0.0,145.68
Kota Tidore Kepulauan,2023,27314.4,23524.91,2029.08,1377.38,135.64,247.39
Fakfak,2023,32061.12,26192.81,668.19,2015.59,412.97,2771.55
Kaimana,2023,22930.04,16859.59,1528.14,1700.57,829.77,2011.97
Teluk Wondama,2023,29611.97,18088.72,301.99,584.51,222.22,10414.54
Teluk Bintuni,2023,44747.46,36083.5,1480.72,918.24,778.38,5486.62
Manokwari,2023,23792.65,18875.04,2637.03,1381.75,63.59,835.24
Manokwari Selatan,2023,30883.12,22756.95,606.33,4029.59,618.09,2872.16
Pegunungan Arfak,2023,6697.05,5127.89,265.9,41.74,278.06,983.46
Raja Ampat,2023,34028.41,25129.28,170.12,56.56,1262.61,7409.84
Sorong,2023,30496.72,25397.51,866.76,2029.09,506.76,1696.59
Sorong Selatan,2023,17341.73,9427.57,873.62,195.84,1942.01,4902.68
Maybrat,2023,30183.14,23595.9,758.23,30.38,286.34,5512.29
Tambrauw,2023,22017.02,16247.48,578.53,0.0,477.49,4713.52
Kota Sorong,2023,20321.16,17958.07,601.89,1326.78,2.9,431.53
Jayapura,2023,39775.63,20331.33,1671.14,1431.36,1278.88,15062.93
Kepulauan Yapen,2023,17219.49,11639.29,41.6,601.4,380.28,4556.92
Biak Numfor,2023,14457.24,8811.84,104.52,177.79,20.38,5342.7
Sarmi,2023,20495.14,12207.83,113.37,955.68,57.17,7161.09
Keerom,2023,30820.12,21958.08,2781.08,3359.81,278.84,2442.32
Waropen,2023,22282.7,12250.36,1868.57,758.44,372.69,7032.64
Supiori,2023,14719.37,9995.51,508.74,913.24,113.39,3188.49
Mamberamo Raya,2023,24149.71,14480.76,0.0,0.0,360.58,9308.37
Kota Jayapura,2023,20430.65,16779.64,87.92,2522.53,16.4,1024.16
Merauke,2023,23265.88,16095.14,1719.48,3255.97,452.39,1742.91
Boven Digoel,2023,19640.09,11630.12,1313.5,5402.12,626.21,668.15
Mappi,2023,10272.44,7804.56,89.06,119.14,1182.32,1077.36
Asmat,2023,11671.94,7768.74,70.21,342.25,690.07,2800.67
Mimika,2023,25640.61,24082.63,680.33,517.11,189.53,171.01
Dogiyai,2023,6701.43,5288.56,0.0,1253.78,126.97,32.12
Deiyai,2023,4173.2,2280.82,531.17,1351.17,10.04,0.0
